i,explanation,fractional positions,,
ICD10CM:V69.40XA,,4,,
ICD10CM:V69.40XD,,4,,
ICD10CM:V69.40XS,,4,,
ICD10CM:V69.49,,2,,
ICD10CM:V69.49XA,,4,,
ICD10CM:V69.49XD,,4,,
ICD10CM:V69.49XS,,4,,
ICD10CM:V69.5,,1,,
ICD10CM:V69.50,,2,,
ICD10CM:V69.50XA,,4,,
ICD10CM:V69.50XD,,4,,
ICD10CM:V69.50XS,,4,,
ICD10CM:V69.59,,2,,
ICD10CM:V69.59XA,,4,,
ICD10CM:V69.59XD,,4,,
ICD10CM:V69.59XS,,4,,
ICD10CM:V69.6,,1,,
ICD10CM:V69.60,,2,,
ICD10CM:V69.60XA,,4,,
ICD10CM:V69.60XD,,4,,
ICD10CM:V69.60XS,,4,,
ICD10CM:V69.69,,2,,
ICD10CM:V69.69XA,,4,,
ICD10CM:V69.69XD,,4,,
ICD10CM:V69.69XS,,4,,
ICD10CM:V69.8,,1,,
ICD10CM:V69.81,,2,,
ICD10CM:V69.81XA,,4,,
ICD10CM:V69.81XD,,4,,
ICD10CM:V69.81XS,,4,,
ICD10CM:V69.88,,2,,
ICD10CM:V69.88XA,,4,,
ICD10CM:V69.88XD,,4,,
ICD10CM:V69.88XS,,4,,
ICD10CM:V69.9,,1,,
ICD10CM:V69.9XXA,,4,,
ICD10CM:V69.9XXD,,4,,
ICD10CM:V69.9XXS,,4,,
ICD10CM:V70,no fractional part,,,
ICD10CM:V70.0,,1,,
ICD10CM:V70.0XXA,,4,,
ICD10CM:V70.0XXD,,4,,
ICD10CM:V70.0XXS,,4,,
ICD10CM:V70.1,,1,,
ICD10CM:V70.1XXA,,4,,
ICD10CM:V70.1XXD,,4,,
ICD10CM:V70.1XXS,,4,,
ICD10CM:V70.2,,1,,
ICD10CM:V70.2XXA,,4,,
ICD10CM:V70.2XXD,,4,,
ICD10CM:V70.2XXS,,4,,
ICD10CM:V70.3,,1,,
ICD10CM:V70.3XXA,,4,,
ICD10CM:V70.3XXD,,4,,
ICD10CM:V70.3XXS,,4,,
ICD10CM:V70.4,,1,,
ICD10CM:V70.4XXA,,4,,
ICD10CM:V70.4XXD,,4,,
ICD10CM:V70.4XXS,,4,,
ICD10CM:V70.5,,1,,
ICD10CM:V70.5XXA,,4,,
ICD10CM:V70.5XXD,,4,,
ICD10CM:V70.5XXS,,4,,
ICD10CM:V70.6,,1,,
ICD10CM:V70.6XXA,,4,,
ICD10CM:V70.6XXD,,4,,
ICD10CM:V70.6XXS,,4,,
ICD10CM:V70.7,,1,,
ICD10CM:V70.7XXA,,4,,
ICD10CM:V70.7XXD,,4,,
ICD10CM:V70.7XXS,,4,,
ICD10CM:V70.9,,1,,
ICD10CM:V70.9XXA,,4,,
ICD10CM:V70.9XXD,,4,,
ICD10CM:V70.9XXS,,4,,
ICD10CM:V70-V79,range,,,
ICD10CM:V71,no fractional part,,,
ICD10CM:V71.0,,1,,
ICD10CM:V71.0XXA,,4,,
ICD10CM:V71.0XXD,,4,,
ICD10CM:V71.0XXS,,4,,
ICD10CM:V71.1,,1,,
ICD10CM:V71.1XXA,,4,,
ICD10CM:V71.1XXD,,4,,
ICD10CM:V71.1XXS,,4,,
ICD10CM:V71.2,,1,,
ICD10CM:V71.2XXA,,4,,
ICD10CM:V71.2XXD,,4,,
ICD10CM:V71.2XXS,,4,,
ICD10CM:V71.3,,1,,
ICD10CM:V71.3XXA,,4,,
ICD10CM:V71.3XXD,,4,,
ICD10CM:V71.3XXS,,4,,
ICD10CM:V71.4,,1,,
ICD10CM:V71.4XXA,,4,,
ICD10CM:V71.4XXD,,4,,
ICD10CM:V71.4XXS,,4,,
ICD10CM:V71.5,,1,,
ICD10CM:V71.5XXA,,4,,
ICD10CM:V71.5XXD,,4,,
ICD10CM:V71.5XXS,,4,,
ICD10CM:V71.6,,1,,
ICD10CM:V71.6XXA,,4,,
ICD10CM:V71.6XXD,,4,,
ICD10CM:V71.6XXS,,4,,
ICD10CM:V71.7,,1,,
ICD10CM:V71.7XXA,,4,,
ICD10CM:V71.7XXD,,4,,
ICD10CM:V71.7XXS,,4,,
ICD10CM:V71.9,,1,,
ICD10CM:V71.9XXA,,4,,
ICD10CM:V71.9XXD,,4,,
ICD10CM:V71.9XXS,,4,,
ICD10CM:V72,no fractional part,,,
ICD10CM:V72.0,,1,,
ICD10CM:V72.0XXA,,4,,
ICD10CM:V72.0XXD,,4,,
ICD10CM:V72.0XXS,,4,,
ICD10CM:V72.1,,1,,
ICD10CM:V72.1XXA,,4,,
ICD10CM:V72.1XXD,,4,,
ICD10CM:V72.1XXS,,4,,
ICD10CM:V72.2,,1,,
ICD10CM:V72.2XXA,,4,,
ICD10CM:V72.2XXD,,4,,
ICD10CM:V72.2XXS,,4,,
ICD10CM:V72.3,,1,,
ICD10CM:V72.3XXA,,4,,
ICD10CM:V72.3XXD,,4,,
ICD10CM:V72.3XXS,,4,,
ICD10CM:V72.4,,1,,
ICD10CM:V72.4XXA,,4,,
ICD10CM:V72.4XXD,,4,,
ICD10CM:V72.4XXS,,4,,
ICD10CM:V72.5,,1,,
ICD10CM:V72.5XXA,,4,,
ICD10CM:V72.5XXD,,4,,
ICD10CM:V72.5XXS,,4,,
ICD10CM:V72.6,,1,,
ICD10CM:V72.6XXA,,4,,
ICD10CM:V72.6XXD,,4,,
ICD10CM:V72.6XXS,,4,,
ICD10CM:V72.7,,1,,
ICD10CM:V72.7XXA,,4,,
ICD10CM:V72.7XXD,,4,,
ICD10CM:V72.7XXS,,4,,
ICD10CM:V72.9,,1,,
ICD10CM:V72.9XXA,,4,,
ICD10CM:V72.9XXD,,4,,
ICD10CM:V72.9XXS,,4,,
ICD10CM:V73,no fractional part,,,
ICD10CM:V73.0,,1,,
ICD10CM:V73.0XXA,,4,,
ICD10CM:V73.0XXD,,4,,
ICD10CM:V73.0XXS,,4,,
ICD10CM:V73.1,,1,,
ICD10CM:V73.1XXA,,4,,
ICD10CM:V73.1XXD,,4,,
ICD10CM:V73.1XXS,,4,,
ICD10CM:V73.2,,1,,
ICD10CM:V73.2XXA,,4,,
ICD10CM:V73.2XXD,,4,,
ICD10CM:V73.2XXS,,4,,
ICD10CM:V73.3,,1,,
ICD10CM:V73.3XXA,,4,,
ICD10CM:V73.3XXD,,4,,
ICD10CM:V73.3XXS,,4,,
ICD10CM:V73.4,,1,,
ICD10CM:V73.4XXA,,4,,
ICD10CM:V73.4XXD,,4,,
ICD10CM:V73.4XXS,,4,,
ICD10CM:V73.5,,1,,
ICD10CM:V73.5XXA,,4,,
ICD10CM:V73.5XXD,,4,,
ICD10CM:V73.5XXS,,4,,
ICD10CM:V73.6,,1,,
ICD10CM:V73.6XXA,,4,,
ICD10CM:V73.6XXD,,4,,
ICD10CM:V73.6XXS,,4,,
ICD10CM:V73.7,,1,,
ICD10CM:V73.7XXA,,4,,
ICD10CM:V73.7XXD,,4,,
ICD10CM:V73.7XXS,,4,,
ICD10CM:V73.9,,1,,
ICD10CM:V73.9XXA,,4,,
ICD10CM:V73.9XXD,,4,,
ICD10CM:V73.9XXS,,4,,
ICD10CM:V74,no fractional part,,,
ICD10CM:V74.0,,1,,
ICD10CM:V74.0XXA,,4,,
ICD10CM:V74.0XXD,,4,,
ICD10CM:V74.0XXS,,4,,
ICD10CM:V74.1,,1,,
ICD10CM:V74.1XXA,,4,,
ICD10CM:V74.1XXD,,4,,
ICD10CM:V74.1XXS,,4,,
ICD10CM:V74.2,,1,,
ICD10CM:V74.2XXA,,4,,
ICD10CM:V74.2XXD,,4,,
ICD10CM:V74.2XXS,,4,,
ICD10CM:V74.3,,1,,
ICD10CM:V74.3XXA,,4,,
ICD10CM:V74.3XXD,,4,,
ICD10CM:V74.3XXS,,4,,
ICD10CM:V74.4,,1,,
ICD10CM:V74.4XXA,,4,,
ICD10CM:V74.4XXD,,4,,
ICD10CM:V74.4XXS,,4,,
ICD10CM:V74.5,,1,,
ICD10CM:V74.5XXA,,4,,
ICD10CM:V74.5XXD,,4,,
ICD10CM:V74.5XXS,,4,,
ICD10CM:V74.6,,1,,
ICD10CM:V74.6XXA,,4,,
ICD10CM:V74.6XXD,,4,,
ICD10CM:V74.6XXS,,4,,
ICD10CM:V74.7,,1,,
ICD10CM:V74.7XXA,,4,,
ICD10CM:V74.7XXD,,4,,
ICD10CM:V74.7XXS,,4,,
ICD10CM:V74.9,,1,,
ICD10CM:V74.9XXA,,4,,
ICD10CM:V74.9XXD,,4,,
ICD10CM:V74.9XXS,,4,,
ICD10CM:V75,no fractional part,,,
ICD10CM:V75.0,,1,,
ICD10CM:V75.0XXA,,4,,
ICD10CM:V75.0XXD,,4,,
ICD10CM:V75.0XXS,,4,,
ICD10CM:V75.1,,1,,
ICD10CM:V75.1XXA,,4,,
ICD10CM:V75.1XXD,,4,,
ICD10CM:V75.1XXS,,4,,
ICD10CM:V75.2,,1,,
ICD10CM:V75.2XXA,,4,,
ICD10CM:V75.2XXD,,4,,
ICD10CM:V75.2XXS,,4,,
ICD10CM:V75.3,,1,,
ICD10CM:V75.3XXA,,4,,
ICD10CM:V75.3XXD,,4,,
ICD10CM:V75.3XXS,,4,,
ICD10CM:V75.4,,1,,
ICD10CM:V75.4XXA,,4,,
ICD10CM:V75.4XXD,,4,,
ICD10CM:V75.4XXS,,4,,
ICD10CM:V75.5,,1,,
ICD10CM:V75.5XXA,,4,,
ICD10CM:V75.5XXD,,4,,
ICD10CM:V75.5XXS,,4,,
ICD10CM:V75.6,,1,,
ICD10CM:V75.6XXA,,4,,
ICD10CM:V75.6XXD,,4,,
ICD10CM:V75.6XXS,,4,,
ICD10CM:V75.7,,1,,
ICD10CM:V75.7XXA,,4,,
ICD10CM:V75.7XXD,,4,,
ICD10CM:V75.7XXS,,4,,
ICD10CM:V75.9,,1,,
ICD10CM:V75.9XXA,,4,,
ICD10CM:V75.9XXD,,4,,
ICD10CM:V75.9XXS,,4,,
ICD10CM:V76,no fractional part,,,
ICD10CM:V76.0,,1,,
ICD10CM:V76.0XXA,,4,,
ICD10CM:V76.0XXD,,4,,
ICD10CM:V76.0XXS,,4,,
ICD10CM:V76.1,,1,,
ICD10CM:V76.1XXA,,4,,
ICD10CM:V76.1XXD,,4,,
ICD10CM:V76.1XXS,,4,,
ICD10CM:V76.2,,1,,
ICD10CM:V76.2XXA,,4,,
ICD10CM:V76.2XXD,,4,,
ICD10CM:V76.2XXS,,4,,
ICD10CM:V76.3,,1,,
ICD10CM:V76.3XXA,,4,,
ICD10CM:V76.3XXD,,4,,
ICD10CM:V76.3XXS,,4,,
ICD10CM:V76.4,,1,,
ICD10CM:V76.4XXA,,4,,
ICD10CM:V76.4XXD,,4,,
ICD10CM:V76.4XXS,,4,,
ICD10CM:V76.5,,1,,
ICD10CM:V76.5XXA,,4,,
ICD10CM:V76.5XXD,,4,,
ICD10CM:V76.5XXS,,4,,
ICD10CM:V76.6,,1,,
ICD10CM:V76.6XXA,,4,,
ICD10CM:V76.6XXD,,4,,
ICD10CM:V76.6XXS,,4,,
ICD10CM:V76.7,,1,,
ICD10CM:V76.7XXA,,4,,
ICD10CM:V76.7XXD,,4,,
ICD10CM:V76.7XXS,,4,,
ICD10CM:V76.9,,1,,
ICD10CM:V76.9XXA,,4,,
ICD10CM:V76.9XXD,,4,,
ICD10CM:V76.9XXS,,4,,
ICD10CM:V77,no fractional part,,,
ICD10CM:V77.0,,1,,
ICD10CM:V77.0XXA,,4,,
ICD10CM:V77.0XXD,,4,,
ICD10CM:V77.0XXS,,4,,
ICD10CM:V77.1,,1,,
ICD10CM:V77.1XXA,,4,,
ICD10CM:V77.1XXD,,4,,
ICD10CM:V77.1XXS,,4,,
ICD10CM:V77.2,,1,,
ICD10CM:V77.2XXA,,4,,
ICD10CM:V77.2XXD,,4,,
ICD10CM:V77.2XXS,,4,,
ICD10CM:V77.3,,1,,
ICD10CM:V77.3XXA,,4,,
ICD10CM:V77.3XXD,,4,,
ICD10CM:V77.3XXS,,4,,
ICD10CM:V77.4,,1,,
ICD10CM:V77.4XXA,,4,,
ICD10CM:V77.4XXD,,4,,
ICD10CM:V77.4XXS,,4,,
ICD10CM:V77.5,,1,,
ICD10CM:V77.5XXA,,4,,
ICD10CM:V77.5XXD,,4,,
ICD10CM:V77.5XXS,,4,,
ICD10CM:V77.6,,1,,
ICD10CM:V77.6XXA,,4,,
ICD10CM:V77.6XXD,,4,,
ICD10CM:V77.6XXS,,4,,
ICD10CM:V77.7,,1,,
ICD10CM:V77.7XXA,,4,,
ICD10CM:V77.7XXD,,4,,
ICD10CM:V77.7XXS,,4,,
ICD10CM:V77.9,,1,,
ICD10CM:V77.9XXA,,4,,
ICD10CM:V77.9XXD,,4,,
ICD10CM:V77.9XXS,,4,,
ICD10CM:V78,no fractional part,,,
ICD10CM:V78.0,,1,,
ICD10CM:V78.0XXA,,4,,
ICD10CM:V78.0XXD,,4,,
ICD10CM:V78.0XXS,,4,,
ICD10CM:V78.1,,1,,
ICD10CM:V78.1XXA,,4,,
ICD10CM:V78.1XXD,,4,,
ICD10CM:V78.1XXS,,4,,
ICD10CM:V78.2,,1,,
ICD10CM:V78.2XXA,,4,,
ICD10CM:V78.2XXD,,4,,
ICD10CM:V78.2XXS,,4,,
ICD10CM:V78.3,,1,,
ICD10CM:V78.3XXA,,4,,
ICD10CM:V78.3XXD,,4,,
ICD10CM:V78.3XXS,,4,,
ICD10CM:V78.4,,1,,
ICD10CM:V78.4XXA,,4,,
ICD10CM:V78.4XXD,,4,,
ICD10CM:V78.4XXS,,4,,
ICD10CM:V78.5,,1,,
ICD10CM:V78.5XXA,,4,,
ICD10CM:V78.5XXD,,4,,
ICD10CM:V78.5XXS,,4,,
ICD10CM:V78.6,,1,,
ICD10CM:V78.6XXA,,4,,
ICD10CM:V78.6XXD,,4,,
ICD10CM:V78.6XXS,,4,,
ICD10CM:V78.7,,1,,
ICD10CM:V78.7XXA,,4,,
ICD10CM:V78.7XXD,,4,,
ICD10CM:V78.7XXS,,4,,
ICD10CM:V78.9,,1,,
ICD10CM:V78.9XXA,,4,,
ICD10CM:V78.9XXD,,4,,
ICD10CM:V78.9XXS,,4,,
ICD10CM:V79,no fractional part,,,
ICD10CM:V79.0,,1,,
ICD10CM:V79.00,,2,,
ICD10CM:V79.00XA,,4,,
ICD10CM:V79.00XD,,4,,
ICD10CM:V79.00XS,,4,,
ICD10CM:V79.09,,2,,
ICD10CM:V79.09XA,,4,,
ICD10CM:V79.09XD,,4,,
ICD10CM:V79.09XS,,4,,
ICD10CM:V79.1,,1,,
ICD10CM:V79.10,,2,,
ICD10CM:V79.10XA,,4,,
ICD10CM:V79.10XD,,4,,
ICD10CM:V79.10XS,,4,,
ICD10CM:V79.19,,2,,
ICD10CM:V79.19XA,,4,,
ICD10CM:V79.19XD,,4,,
ICD10CM:V79.19XS,,4,,
ICD10CM:V79.2,,1,,
ICD10CM:V79.20,,2,,
ICD10CM:V79.20XA,,4,,
ICD10CM:V79.20XD,,4,,
ICD10CM:V79.20XS,,4,,
ICD10CM:V79.29,,2,,
ICD10CM:V79.29XA,,4,,
ICD10CM:V79.29XD,,4,,
ICD10CM:V79.29XS,,4,,
ICD10CM:V79.3,,1,,
ICD10CM:V79.3XXA,,4,,
ICD10CM:V79.3XXD,,4,,
ICD10CM:V79.3XXS,,4,,
ICD10CM:V79.4,,1,,
ICD10CM:V79.40,,2,,
ICD10CM:V79.40XA,,4,,
ICD10CM:V79.40XD,,4,,
ICD10CM:V79.40XS,,4,,
ICD10CM:V79.49,,2,,
ICD10CM:V79.49XA,,4,,
ICD10CM:V79.49XD,,4,,
ICD10CM:V79.49XS,,4,,
ICD10CM:V79.5,,1,,
ICD10CM:V79.50,,2,,
ICD10CM:V79.50XA,,4,,
ICD10CM:V79.50XD,,4,,
ICD10CM:V79.50XS,,4,,
ICD10CM:V79.59,,2,,
ICD10CM:V79.59XA,,4,,
ICD10CM:V79.59XD,,4,,
ICD10CM:V79.59XS,,4,,
ICD10CM:V79.6,,1,,
ICD10CM:V79.60,,2,,
ICD10CM:V79.60XA,,4,,
ICD10CM:V79.60XD,,4,,
ICD10CM:V79.60XS,,4,,
ICD10CM:V79.69,,2,,
ICD10CM:V79.69XA,,4,,
ICD10CM:V79.69XD,,4,,
ICD10CM:V79.69XS,,4,,
ICD10CM:V79.8,,1,,
ICD10CM:V79.81,,2,,
ICD10CM:V79.81XA,,4,,
ICD10CM:V79.81XD,,4,,
ICD10CM:V79.81XS,,4,,
ICD10CM:V79.88,,2,,
ICD10CM:V79.88XA,,4,,
ICD10CM:V79.88XD,,4,,
ICD10CM:V79.88XS,,4,,
ICD10CM:V79.9,,1,,
ICD10CM:V79.9XXA,,4,,
ICD10CM:V79.9XXD,,4,,
ICD10CM:V79.9XXS,,4,,
ICD10CM:V80,no fractional part,,,
ICD10CM:V80.0,,1,,
ICD10CM:V80.01,,2,,
ICD10CM:V80.010,,3,,
ICD10CM:V80.010A,,4,,
ICD10CM:V80.010D,,4,,
ICD10CM:V80.010S,,4,,
ICD10CM:V80.018,,3,,
ICD10CM:V80.018A,,4,,
ICD10CM:V80.018D,,4,,
ICD10CM:V80.018S,,4,,
ICD10CM:V80.02,,2,,
ICD10CM:V80.02XA,,4,,
ICD10CM:V80.02XD,,4,,
ICD10CM:V80.02XS,,4,,
ICD10CM:V80.1,,1,,
ICD10CM:V80.11,,2,,
ICD10CM:V80.11XA,,4,,
ICD10CM:V80.11XD,,4,,
ICD10CM:V80.11XS,,4,,
ICD10CM:V80.12,,2,,
ICD10CM:V80.12XA,,4,,
ICD10CM:V80.12XD,,4,,
ICD10CM:V80.12XS,,4,,
ICD10CM:V80.2,,1,,
ICD10CM:V80.21,,2,,
ICD10CM:V80.21XA,,4,,
ICD10CM:V80.21XD,,4,,
ICD10CM:V80.21XS,,4,,
ICD10CM:V80.22,,2,,
ICD10CM:V80.22XA,,4,,
ICD10CM:V80.22XD,,4,,
ICD10CM:V80.22XS,,4,,
ICD10CM:V80.3,,1,,
ICD10CM:V80.31,,2,,
ICD10CM:V80.31XA,,4,,
ICD10CM:V80.31XD,,4,,
ICD10CM:V80.31XS,,4,,
ICD10CM:V80.32,,2,,
ICD10CM:V80.32XA,,4,,
ICD10CM:V80.32XD,,4,,
ICD10CM:V80.32XS,,4,,
ICD10CM:V80.4,,1,,
ICD10CM:V80.41,,2,,
ICD10CM:V80.41XA,,4,,
ICD10CM:V80.41XD,,4,,
ICD10CM:V80.41XS,,4,,
ICD10CM:V80.42,,2,,
ICD10CM:V80.42XA,,4,,
ICD10CM:V80.42XD,,4,,
ICD10CM:V80.42XS,,4,,
ICD10CM:V80.5,,1,,
ICD10CM:V80.51,,2,,
ICD10CM:V80.51XA,,4,,
ICD10CM:V80.51XD,,4,,
ICD10CM:V80.51XS,,4,,
ICD10CM:V80.52,,2,,
ICD10CM:V80.52XA,,4,,
ICD10CM:V80.52XD,,4,,
ICD10CM:V80.52XS,,4,,
ICD10CM:V80.6,,1,,
ICD10CM:V80.61,,2,,
ICD10CM:V80.61XA,,4,,
ICD10CM:V80.61XD,,4,,
ICD10CM:V80.61XS,,4,,
ICD10CM:V80.62,,2,,
ICD10CM:V80.62XA,,4,,
ICD10CM:V80.62XD,,4,,
ICD10CM:V80.62XS,,4,,
ICD10CM:V80.7,,1,,
ICD10CM:V80.71,,2,,
ICD10CM:V80.710,,3,,
ICD10CM:V80.710A,,4,,
ICD10CM:V80.710D,,4,,
ICD10CM:V80.710S,,4,,
ICD10CM:V80.711,,3,,
ICD10CM:V80.711A,,4,,
ICD10CM:V80.711D,,4,,
ICD10CM:V80.711S,,4,,
ICD10CM:V80.72,,2,,
ICD10CM:V80.720,,3,,
ICD10CM:V80.720A,,4,,
ICD10CM:V80.720D,,4,,
ICD10CM:V80.720S,,4,,
ICD10CM:V80.721,,3,,
ICD10CM:V80.721A,,4,,
ICD10CM:V80.721D,,4,,
ICD10CM:V80.721S,,4,,
ICD10CM:V80.73,,2,,
ICD10CM:V80.730,,3,,
ICD10CM:V80.730A,,4,,
ICD10CM:V80.730D,,4,,
ICD10CM:V80.730S,,4,,
ICD10CM:V80.731,,3,,
ICD10CM:V80.731A,,4,,
ICD10CM:V80.731D,,4,,
ICD10CM:V80.731S,,4,,
ICD10CM:V80.79,,2,,
ICD10CM:V80.790,,3,,
ICD10CM:V80.790A,,4,,
ICD10CM:V80.790D,,4,,
ICD10CM:V80.790S,,4,,
ICD10CM:V80.791,,3,,
ICD10CM:V80.791A,,4,,
ICD10CM:V80.791D,,4,,
ICD10CM:V80.791S,,4,,
ICD10CM:V80.8,,1,,
ICD10CM:V80.81,,2,,
ICD10CM:V80.81XA,,4,,
ICD10CM:V80.81XD,,4,,
ICD10CM:V80.81XS,,4,,
ICD10CM:V80.82,,2,,
ICD10CM:V80.82XA,,4,,
ICD10CM:V80.82XD,,4,,
ICD10CM:V80.82XS,,4,,
ICD10CM:V80.9,,1,,
ICD10CM:V80.91,,2,,
ICD10CM:V80.910,,3,,
ICD10CM:V80.910A,,4,,
ICD10CM:V80.910D,,4,,
ICD10CM:V80.910S,,4,,
ICD10CM:V80.918,,3,,
ICD10CM:V80.918A,,4,,
ICD10CM:V80.918D,,4,,
ICD10CM:V80.918S,,4,,
ICD10CM:V80.919,,3,,
ICD10CM:V80.919A,,4,,
ICD10CM:V80.919D,,4,,
ICD10CM:V80.919S,,4,,
ICD10CM:V80.92,,2,,
ICD10CM:V80.920,,3,,
ICD10CM:V80.920A,,4,,
ICD10CM:V80.920D,,4,,
ICD10CM:V80.920S,,4,,
ICD10CM:V80.928,,3,,
ICD10CM:V80.928A,,4,,
ICD10CM:V80.928D,,4,,
ICD10CM:V80.928S,,4,,
ICD10CM:V80.929,,3,,
ICD10CM:V80.929A,,4,,
ICD10CM:V80.929D,,4,,
ICD10CM:V80.929S,,4,,
ICD10CM:V80-V89,range,,,
ICD10CM:V81,no fractional part,,,
ICD10CM:V81.0,,1,,
ICD10CM:V81.0XXA,,4,,
ICD10CM:V81.0XXD,,4,,
ICD10CM:V81.0XXS,,4,,
ICD10CM:V81.1,,1,,
ICD10CM:V81.1XXA,,4,,
ICD10CM:V81.1XXD,,4,,
ICD10CM:V81.1XXS,,4,,
ICD10CM:V81.2,,1,,
ICD10CM:V81.2XXA,,4,,
ICD10CM:V81.2XXD,,4,,
ICD10CM:V81.2XXS,,4,,
ICD10CM:V81.3,,1,,
ICD10CM:V81.3XXA,,4,,
ICD10CM:V81.3XXD,,4,,
ICD10CM:V81.3XXS,,4,,
ICD10CM:V81.4,,1,,
ICD10CM:V81.4XXA,,4,,
ICD10CM:V81.4XXD,,4,,
ICD10CM:V81.4XXS,,4,,
ICD10CM:V81.5,,1,,
ICD10CM:V81.5XXA,,4,,
ICD10CM:V81.5XXD,,4,,
ICD10CM:V81.5XXS,,4,,
ICD10CM:V81.6,,1,,
ICD10CM:V81.6XXA,,4,,
ICD10CM:V81.6XXD,,4,,
ICD10CM:V81.6XXS,,4,,
ICD10CM:V81.7,,1,,
ICD10CM:V81.7XXA,,4,,
ICD10CM:V81.7XXD,,4,,
ICD10CM:V81.7XXS,,4,,
ICD10CM:V81.8,,1,,
ICD10CM:V81.81,,2,,
ICD10CM:V81.81XA,,4,,
ICD10CM:V81.81XD,,4,,
ICD10CM:V81.81XS,,4,,
ICD10CM:V81.82,,2,,
ICD10CM:V81.82XA,,4,,
ICD10CM:V81.82XD,,4,,
ICD10CM:V81.82XS,,4,,
ICD10CM:V81.83,,2,,
ICD10CM:V81.83XA,,4,,
ICD10CM:V81.83XD,,4,,
ICD10CM:V81.83XS,,4,,
ICD10CM:V81.89,,2,,
ICD10CM:V81.89XA,,4,,
ICD10CM:V81.89XD,,4,,
ICD10CM:V81.89XS,,4,,
ICD10CM:V81.9,,1,,
ICD10CM:V81.9XXA,,4,,
ICD10CM:V81.9XXD,,4,,
ICD10CM:V81.9XXS,,4,,
ICD10CM:V82,no fractional part,,,
ICD10CM:V82.0,,1,,
ICD10CM:V82.0XXA,,4,,
ICD10CM:V82.0XXD,,4,,
ICD10CM:V82.0XXS,,4,,
ICD10CM:V82.1,,1,,
ICD10CM:V82.1XXA,,4,,
ICD10CM:V82.1XXD,,4,,
ICD10CM:V82.1XXS,,4,,
ICD10CM:V82.2,,1,,
ICD10CM:V82.2XXA,,4,,
ICD10CM:V82.2XXD,,4,,
ICD10CM:V82.2XXS,,4,,
ICD10CM:V82.3,,1,,
ICD10CM:V82.3XXA,,4,,
ICD10CM:V82.3XXD,,4,,
ICD10CM:V82.3XXS,,4,,
ICD10CM:V82.4,,1,,
ICD10CM:V82.4XXA,,4,,
ICD10CM:V82.4XXD,,4,,
ICD10CM:V82.4XXS,,4,,
ICD10CM:V82.5,,1,,
ICD10CM:V82.5XXA,,4,,
ICD10CM:V82.5XXD,,4,,
ICD10CM:V82.5XXS,,4,,
ICD10CM:V82.6,,1,,
ICD10CM:V82.6XXA,,4,,
ICD10CM:V82.6XXD,,4,,
ICD10CM:V82.6XXS,,4,,
ICD10CM:V82.7,,1,,
ICD10CM:V82.7XXA,,4,,
ICD10CM:V82.7XXD,,4,,
ICD10CM:V82.7XXS,,4,,
ICD10CM:V82.8,,1,,
ICD10CM:V82.8XXA,,4,,
ICD10CM:V82.8XXD,,4,,
ICD10CM:V82.8XXS,,4,,
ICD10CM:V82.9,,1,,
ICD10CM:V82.9XXA,,4,,
ICD10CM:V82.9XXD,,4,,
ICD10CM:V82.9XXS,,4,,
ICD10CM:V83,no fractional part,,,
ICD10CM:V83.0,,1,,
ICD10CM:V83.0XXA,,4,,
ICD10CM:V83.0XXD,,4,,
ICD10CM:V83.0XXS,,4,,
ICD10CM:V83.1,,1,,
ICD10CM:V83.1XXA,,4,,
ICD10CM:V83.1XXD,,4,,
ICD10CM:V83.1XXS,,4,,
ICD10CM:V83.2,,1,,
ICD10CM:V83.2XXA,,4,,
ICD10CM:V83.2XXD,,4,,
ICD10CM:V83.2XXS,,4,,
ICD10CM:V83.3,,1,,
ICD10CM:V83.3XXA,,4,,
ICD10CM:V83.3XXD,,4,,
ICD10CM:V83.3XXS,,4,,
ICD10CM:V83.4,,1,,
ICD10CM:V83.4XXA,,4,,
ICD10CM:V83.4XXD,,4,,
ICD10CM:V83.4XXS,,4,,
ICD10CM:V83.5,,1,,
ICD10CM:V83.5XXA,,4,,
ICD10CM:V83.5XXD,,4,,
ICD10CM:V83.5XXS,,4,,
ICD10CM:V83.6,,1,,
ICD10CM:V83.6XXA,,4,,
ICD10CM:V83.6XXD,,4,,
ICD10CM:V83.6XXS,,4,,
ICD10CM:V83.7,,1,,
ICD10CM:V83.7XXA,,4,,
ICD10CM:V83.7XXD,,4,,
ICD10CM:V83.7XXS,,4,,
ICD10CM:V83.9,,1,,
ICD10CM:V83.9XXA,,4,,
ICD10CM:V83.9XXD,,4,,
ICD10CM:V83.9XXS,,4,,
ICD10CM:V84,no fractional part,,,
ICD10CM:V84.0,,1,,
ICD10CM:V84.0XXA,,4,,
ICD10CM:V84.0XXD,,4,,
ICD10CM:V84.0XXS,,4,,
ICD10CM:V84.1,,1,,
ICD10CM:V84.1XXA,,4,,
ICD10CM:V84.1XXD,,4,,
ICD10CM:V84.1XXS,,4,,
ICD10CM:V84.2,,1,,
ICD10CM:V84.2XXA,,4,,
ICD10CM:V84.2XXD,,4,,
ICD10CM:V84.2XXS,,4,,
ICD10CM:V84.3,,1,,
ICD10CM:V84.3XXA,,4,,
ICD10CM:V84.3XXD,,4,,
ICD10CM:V84.3XXS,,4,,
ICD10CM:V84.4,,1,,
ICD10CM:V84.4XXA,,4,,
ICD10CM:V84.4XXD,,4,,
ICD10CM:V84.4XXS,,4,,
ICD10CM:V84.5,,1,,
